Subject,Predicate,Object
Letter,rdf:type,schema:Message
Letter,owl:sameAs,https://hrc.contentdm.oclc.org/digital/collection/p15878coll51/id/39842/rec/57
Letter,crm:P102_has_title,Letter to Bochica (Comandante General)
Letter,dcterms:language,Spanish
Letter,dcterms:extent,4 pages
Letter,crm:P52_has_current_owner,"HRC, University of Texas"
Letter,dcterms:format,Manuscript
Letter,schema:about,Statements
Letter,crm:E57_consist_of,Signed typescript
Letter,dcterms:created,22-04-1996
Letter,schema:sender,Gabriel García Maárquez
Letter,schema:recipient,Hugo Antonio Toro Restrepo
Hugo Antonio Toro Restrepo,rdf:type,foaf:Person
Hugo Antonio Toro Restrepo,owl:sameAs,https://www.wikidata.org/wiki/Q130732719
Hugo Antonio Toro Restrepo,crm:P107_has_current_or_former_member,JEGA (Movimiento Jorge Eliécer Gaitán)
JEGA (Movimiento Jorge Eliécer Gaitán),rdf:type,crm:E74_Group
JEGA (Movimiento Jorge Eliécer Gaitán),crm:P10_falls_within,Colombian Armed Conflict 
Colombian Armed Conflict,rdf:type,crm:E4_Period
Colombian Armed Conflict,owl:sameAs,https://dbpedia.org/page/Colombian_conflict
Colombian Armed Conflict,dcterms:relation,Politics
Politics,rdf:type,skos:concept
Politics,owl:sameAs,https://dbpedia.org/page/Politics
HRC University of Texas,rdf:type,crm:E74_Group
HRC University of Texas,owl:sameAs,https://www.wikidata.org/wiki/Q5671855
