Subject,Predicate,Object
Manuscript General,rdf:type,schema:Book
Manuscript General,dcterms:creator,Gabriel Garcia Marquez 
Manuscript General,crm:P102_has_title,El general en su laberinto
Manuscript General,dcterms:created,1988
Manuscript General,crm:P2_has_type,Manuscripts
Manuscript General,dcterms:extent,247 pages
Manuscript General,schema:genre,Novels
Manuscript General,dcterms:language,Spanish
Manuscript General,crm:P52_has_current_owner,"HRC, University of Texas"
Manuscript General,crm:P55_has_current_location,Austin
Manuscript General,dcTerms:isPartOf,Gabriel Garcia Marquez Collection
Manuscript General,dcTerms:subject,Simon Bolivar
Manuscript General,dcTerms:creator,Gabriel Garcia Marquez 
Manuscript General,dcTerms:references,Politics
Gabriel Garcia Marquez,rdf:type,foaf:Person
Simon Bolivar,rdf:type,foaf:Person
Simon Bolivar,owl:sameAs,https://viaf.org/viaf/35731693
Austin,rdf:type,schema:Place
Austin,owl:sameAs,https://www.geonames.org/4671654/austin.html
"HRC, University of Texas",rdf:type,crm:E74_Group
"HRC, University of Texas",owl:sameAs,https://www.wikidata.org/wiki/Q5671855
Politics,rdf:type,skos:concept
Politics,owl:sameAs,https://dbpedia.org/page/Politics
Gabriel Garcia Marquez Collection,rdf:type,crm:E78_Curated_Holding
