Subject,Predicate,Object
Manuscript,rdf:type,schema:Manuscript
Manuscript,owl:sameAs,https://hrc.contentdm.oclc.org/digital/collection/p15878coll79/id/395/rec/4
Manuscript,crm:P102_has_title,Cien anos de soledad
Manuscript,dcterms:type,Text
Manuscript,crm:P72_has_language,Spanish
Manuscript,dcterms:created,1966
Manuscript,dcterms:format,Manuscript
Manuscript,dcterms:extent,493 pages
Manuscript,dcterms:subject,Bananeras Massacre
Manuscript,crm:E57_consist_of,Carbon typescript with light corrections by the author 
Manuscript,schema:location,Macondo
Manuscript,dcterms:subject,Latin American Literature
Manuscript,crm:P52_has_current_owner,"HRC, University of Texas"
Manuscript,dcterms:creator,Gabriel García Márquez
Cien años de soledad,rdf:type,schema:Book
Cien años de soledad,owl:sameAs,https://dbpedia.org/page/One_Hundred_Years_of_Solitude
Cien años de soledad,schema:genre,Magic Realism
Magic realism,rdf:type,skos:concept
Magic Realism,owl:sameAs,https://dbpedia.org/page/Magic_realism
"HRC, University of Texas",rdf:type,crm:E74_Group
"HRC, University of Texas",owl:sameAs,https://www.wikidata.org/wiki/Q5671855
Latin American Literature,rdf:type,skos:Concept
Latin American Literature,owl:sameAs,https://www.wikidata.org/wiki/Q1147454
Macondo,rdf:type,schema:place
Macondo,dcterms:relation,Aracataca
Bananeras Massacre,rdf:type,E5 Event
Bananeras Massacre,owl:sameAs,https://www.wikidata.org/wiki/Q1134821
